app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937609872162, ref_stop_time: 778937610083362, actual_exe_time: 211200, task_app_start_time:778937607613102, task_sched_time:778937608881322
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937611043842, ref_stop_time: 778937611122802, actual_exe_time: 78960, task_app_start_time:778937609928892, task_sched_time:778937611040782
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937611278502, ref_stop_time: 778937611361512, actual_exe_time: 83010, task_app_start_time:778937607613102, task_sched_time:778937611272892
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778937611454362, ref_stop_time: 778937611612762, actual_exe_time: 158400, task_app_start_time:778937607613102, task_sched_time:778937611451062
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937611682482, ref_stop_time: 778937611770862, actual_exe_time: 88380, task_app_start_time:778937607613102, task_sched_time:778937611678282
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937612140192, ref_stop_time: 778937612220052, actual_exe_time: 79860, task_app_start_time:778937609928892, task_sched_time:778937612136082
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937613205522, ref_stop_time: 778937613283702, actual_exe_time: 78180, task_app_start_time:778937612242762, task_sched_time:778937613202522
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778937613211792, ref_stop_time: 778937613329212, actual_exe_time: 117420, task_app_start_time:778937609928892, task_sched_time:778937612336812
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937613386392, ref_stop_time: 778937613467242, actual_exe_time: 80850, task_app_start_time:778937609928892, task_sched_time:778937613383932
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937614206293, ref_stop_time: 778937614284383, actual_exe_time: 78090, task_app_start_time:778937612242762, task_sched_time:778937614203353
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778937614369613, ref_stop_time: 778937614488383, actual_exe_time: 118770, task_app_start_time:778937612242762, task_sched_time:778937614361843
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937614544093, ref_stop_time: 778937615478683, actual_exe_time: 934590, task_app_start_time:778937612242762, task_sched_time:778937614541303
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937615484053, ref_stop_time: 778937615565623, actual_exe_time: 81570, task_app_start_time:778937614555643, task_sched_time:778937615461613
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937616453683, ref_stop_time: 778937616534353, actual_exe_time: 80670, task_app_start_time:778937614555643, task_sched_time:778937616447953
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778937616612563, ref_stop_time: 778937616731423, actual_exe_time: 118860, task_app_start_time:778937614555643, task_sched_time:778937616608903
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937616792863, ref_stop_time: 778937616877193, actual_exe_time: 84330, task_app_start_time:778937614555643, task_sched_time:778937616787373
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937617765943, ref_stop_time: 778937617845503, actual_exe_time: 79560, task_app_start_time:778937616870953, task_sched_time:778937617762883
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937618718443, ref_stop_time: 778937618796203, actual_exe_time: 77760, task_app_start_time:778937616870953, task_sched_time:778937618715683
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778937618874023, ref_stop_time: 778937618989853, actual_exe_time: 115830, task_app_start_time:778937616870953, task_sched_time:778937618870723
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778937619047243, ref_stop_time: 778937619127613, actual_exe_time: 80370, task_app_start_time:778937616870953, task_sched_time:778937619044873
