app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567540524616, ref_stop_time: 778567540717936, actual_exe_time: 193320, task_app_start_time:778567539226515, task_sched_time:778567540513606
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567541936746, ref_stop_time: 778567542015226, actual_exe_time: 78480, task_app_start_time:778567539226515, task_sched_time:778567541933986
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567542103786, ref_stop_time: 778567542181666, actual_exe_time: 77880, task_app_start_time:778567540962436, task_sched_time:778567542024016
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778567542106156, ref_stop_time: 778567542267196, actual_exe_time: 161040, task_app_start_time:778567539226515, task_sched_time:778567542102376
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567542334066, ref_stop_time: 778567542418516, actual_exe_time: 84450, task_app_start_time:778567539226515, task_sched_time:778567542325666
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567543641736, ref_stop_time: 778567543721896, actual_exe_time: 80160, task_app_start_time:778567540962436, task_sched_time:778567543164016
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778567543808716, ref_stop_time: 778567543928086, actual_exe_time: 119370, task_app_start_time:778567540962436, task_sched_time:778567543801996
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567543817596, ref_stop_time: 778567543900246, actual_exe_time: 82650, task_app_start_time:778567542696616, task_sched_time:778567543632166
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567544405986, ref_stop_time: 778567544488006, actual_exe_time: 82020, task_app_start_time:778567540962436, task_sched_time:778567543980016
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567544621686, ref_stop_time: 778567544699386, actual_exe_time: 77700, task_app_start_time:778567542696616, task_sched_time:778567544618866
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778567544825056, ref_stop_time: 778567544942086, actual_exe_time: 117030, task_app_start_time:778567542696616, task_sched_time:778567544822146
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567545818057, ref_stop_time: 778567545896177, actual_exe_time: 78120, task_app_start_time:778567544502796, task_sched_time:778567545810797
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567545987077, ref_stop_time: 778567546068167, actual_exe_time: 81090, task_app_start_time:778567542696616, task_sched_time:778567545913007
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567547033657, ref_stop_time: 778567547111507, actual_exe_time: 77850, task_app_start_time:778567544502796, task_sched_time:778567547026037
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778567547195387, ref_stop_time: 778567547315357, actual_exe_time: 119970, task_app_start_time:778567544502796, task_sched_time:778567547191607
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567547202677, ref_stop_time: 778567547282477, actual_exe_time: 79800, task_app_start_time:778567546167647, task_sched_time:778567547053007
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567547373917, ref_stop_time: 778567547454887, actual_exe_time: 80970, task_app_start_time:778567544502796, task_sched_time:778567547369897
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567548165317, ref_stop_time: 778567548243617, actual_exe_time: 78300, task_app_start_time:778567546167647, task_sched_time:778567548156377
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778567548320057, ref_stop_time: 778567548438497, actual_exe_time: 118440, task_app_start_time:778567546167647, task_sched_time:778567548313967
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778567548490547, ref_stop_time: 778567548571697, actual_exe_time: 81150, task_app_start_time:778567546167647, task_sched_time:778567548488237
