app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836219895915, ref_stop_time: 778836220008085, actual_exe_time: 112170, task_app_start_time:778836218592325, task_sched_time:778836219889195
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836221252905, ref_stop_time: 778836221312275, actual_exe_time: 59370, task_app_start_time:778836218592325, task_sched_time:778836221240935
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778836221444815, ref_stop_time: 778836221519365, actual_exe_time: 74550, task_app_start_time:778836218592325, task_sched_time:778836221436355
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836221586595, ref_stop_time: 778836221687635, actual_exe_time: 101040, task_app_start_time:778836218592325, task_sched_time:778836221583775
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836221991205, ref_stop_time: 778836222049255, actual_exe_time: 58050, task_app_start_time:778836220899805, task_sched_time:778836221986615
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836223066345, ref_stop_time: 778836223126525, actual_exe_time: 60180, task_app_start_time:778836220899805, task_sched_time:778836223058335
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778836223208185, ref_stop_time: 778836224236256, actual_exe_time: 1028071, task_app_start_time:778836220899805, task_sched_time:778836223203715
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836224155466, ref_stop_time: 778836224216966, actual_exe_time: 61500, task_app_start_time:778836223215775, task_sched_time:778836224146736
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836224672276, ref_stop_time: 778836224772926, actual_exe_time: 100650, task_app_start_time:778836220899805, task_sched_time:778836224293526
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836226016306, ref_stop_time: 778836226076906, actual_exe_time: 60600, task_app_start_time:778836223215775, task_sched_time:778836226007546
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778836226197476, ref_stop_time: 778836226274306, actual_exe_time: 76830, task_app_start_time:778836223215775, task_sched_time:778836226191146
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836226363466, ref_stop_time: 778836226463546, actual_exe_time: 100080, task_app_start_time:778836223215775, task_sched_time:778836226358696
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836226708016, ref_stop_time: 778836226766636, actual_exe_time: 58620, task_app_start_time:778836225538496, task_sched_time:778836226432166
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836227641736, ref_stop_time: 778836227700116, actual_exe_time: 58380, task_app_start_time:778836225538496, task_sched_time:778836227639276
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778836227781206, ref_stop_time: 778836227854826, actual_exe_time: 73620, task_app_start_time:778836225538496, task_sched_time:778836227777486
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836227915666, ref_stop_time: 778836228013946, actual_exe_time: 98280, task_app_start_time:778836225538496, task_sched_time:778836227912966
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836228727886, ref_stop_time: 778836228786386, actual_exe_time: 58500, task_app_start_time:778836227844596, task_sched_time:778836228723896
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836229655456, ref_stop_time: 778836229714017, actual_exe_time: 58561, task_app_start_time:778836227844596, task_sched_time:778836229646156
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778836229797717, ref_stop_time: 778836229871457, actual_exe_time: 73740, task_app_start_time:778836227844596, task_sched_time:778836229789467
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778836229931757, ref_stop_time: 778836230027457, actual_exe_time: 95700, task_app_start_time:778836227844596, task_sched_time:778836229929267
