app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354575596163, ref_stop_time: 778354575703443, actual_exe_time: 107280, task_app_start_time:778354573939472, task_sched_time:778354575246093
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354576928703, ref_stop_time: 778354576987953, actual_exe_time: 59250, task_app_start_time:778354573939472, task_sched_time:778354576914723
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778354577083473, ref_stop_time: 778354577158653, actual_exe_time: 75180, task_app_start_time:778354573939472, task_sched_time:778354577080473
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354577221893, ref_stop_time: 778354577325903, actual_exe_time: 104010, task_app_start_time:778354573939472, task_sched_time:778354577219703
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 778354577242773, ref_stop_time: 778354577322663, actual_exe_time: 79890, task_app_start_time:778354576159383, task_sched_time:778354577231283
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354577579583, ref_stop_time: 778354577640063, actual_exe_time: 60480, task_app_start_time:778354574421393, task_sched_time:778354577571873
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 778354577878713, ref_stop_time: 778354577941293, actual_exe_time: 62580, task_app_start_time:778354574421393, task_sched_time:778354577692953
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 778354578066903, ref_stop_time: 778354578140823, actual_exe_time: 73920, task_app_start_time:778354574421393, task_sched_time:778354578060813
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354578235953, ref_stop_time: 778354578335733, actual_exe_time: 99780, task_app_start_time:778354574421393, task_sched_time:778354578229803
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354578836013, ref_stop_time: 778354578894753, actual_exe_time: 58740, task_app_start_time:778354577895843, task_sched_time:778354578827253
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354579280313, ref_stop_time: 778354579338963, actual_exe_time: 58650, task_app_start_time:778354576159383, task_sched_time:778354579273263
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778354579467693, ref_stop_time: 778354579542183, actual_exe_time: 74490, task_app_start_time:778354576159383, task_sched_time:778354579457343
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 778354579802583, ref_stop_time: 778354579864083, actual_exe_time: 61500, task_app_start_time:778354577895843, task_sched_time:778354579796013
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 778354579949433, ref_stop_time: 778354580023623, actual_exe_time: 74190, task_app_start_time:778354577895843, task_sched_time:778354579943313
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354580538453, ref_stop_time: 778354580636944, actual_exe_time: 98491, task_app_start_time:778354576159383, task_sched_time:778354579701663
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354580752054, ref_stop_time: 778354580849614, actual_exe_time: 97560, task_app_start_time:778354577895843, task_sched_time:778354580078673
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354580962024, ref_stop_time: 778354581025144, actual_exe_time: 63120, task_app_start_time:778354579630563, task_sched_time:778354580526663
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354582745794, ref_stop_time: 778354582806544, actual_exe_time: 60750, task_app_start_time:778354579630563, task_sched_time:778354582740364
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778354582924384, ref_stop_time: 778354583001034, actual_exe_time: 76650, task_app_start_time:778354579630563, task_sched_time:778354582918924
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778354583088934, ref_stop_time: 778354583317654, actual_exe_time: 228720, task_app_start_time:778354579630563, task_sched_time:778354583086294
