app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307647643653, ref_stop_time: 779307647809793, actual_exe_time: 166140, task_app_start_time:779307646020743, task_sched_time:779307647638043
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307648794693, ref_stop_time: 779307648874583, actual_exe_time: 79890, task_app_start_time:779307646020743, task_sched_time:779307647876963
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307648879533, ref_stop_time: 779307648959873, actual_exe_time: 80340, task_app_start_time:779307647761973, task_sched_time:779307648784043
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 779307648964373, ref_stop_time: 779307649038413, actual_exe_time: 74040, task_app_start_time:779307646020743, task_sched_time:779307648920633
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307649065923, ref_stop_time: 779307649149983, actual_exe_time: 84060, task_app_start_time:779307646020743, task_sched_time:779307649063703
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307649923083, ref_stop_time: 779307650003393, actual_exe_time: 80310, task_app_start_time:779307647761973, task_sched_time:779307649914323
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 779307650084213, ref_stop_time: 779307650159963, actual_exe_time: 75750, task_app_start_time:779307647761973, task_sched_time:779307650078303
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307650217383, ref_stop_time: 779307650301173, actual_exe_time: 83790, task_app_start_time:779307647761973, task_sched_time:779307650211233
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307650480993, ref_stop_time: 779307650560913, actual_exe_time: 79920, task_app_start_time:779307649494773, task_sched_time:779307650478143
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307651299244, ref_stop_time: 779307651378024, actual_exe_time: 78780, task_app_start_time:779307649494773, task_sched_time:779307651295674
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307652158144, ref_stop_time: 779307652235184, actual_exe_time: 77040, task_app_start_time:779307651228564, task_sched_time:779307652155504
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 779307652239474, ref_stop_time: 779307652313094, actual_exe_time: 73620, task_app_start_time:779307649494773, task_sched_time:779307652193604
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307652317264, ref_stop_time: 779307652394244, actual_exe_time: 76980, task_app_start_time:779307651228564, task_sched_time:779307652282314
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307652398384, ref_stop_time: 779307652478364, actual_exe_time: 79980, task_app_start_time:779307649494773, task_sched_time:779307652338744
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 779307652482444, ref_stop_time: 779307652556004, actual_exe_time: 73560, task_app_start_time:779307651228564, task_sched_time:779307652430784
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307652649274, ref_stop_time: 779307652729914, actual_exe_time: 80640, task_app_start_time:779307651228564, task_sched_time:779307652645284
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307653829234, ref_stop_time: 779307653910924, actual_exe_time: 81690, task_app_start_time:779307652963674, task_sched_time:779307653820984
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307654744714, ref_stop_time: 779307654824694, actual_exe_time: 79980, task_app_start_time:779307652963674, task_sched_time:779307654741444
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 779307654906414, ref_stop_time: 779307654982704, actual_exe_time: 76290, task_app_start_time:779307652963674, task_sched_time:779307654897414
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779307655053354, ref_stop_time: 779307655138434, actual_exe_time: 85080, task_app_start_time:779307652963674, task_sched_time:779307655034724
