app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063111797652, ref_stop_time: 780063111986682, actual_exe_time: 189030, task_app_start_time:780063110244551, task_sched_time:780063111519612
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063113263572, ref_stop_time: 780063113344872, actual_exe_time: 81300, task_app_start_time:780063110244551, task_sched_time:780063113260902
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780063113470302, ref_stop_time: 780063113631822, actual_exe_time: 161520, task_app_start_time:780063110244551, task_sched_time:780063113463252
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063113584272, ref_stop_time: 780063113669412, actual_exe_time: 85140, task_app_start_time:780063112556982, task_sched_time:780063113581452
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780063113700012, ref_stop_time: 780063113868192, actual_exe_time: 168180, task_app_start_time:780063110244551, task_sched_time:780063113695812
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063114653412, ref_stop_time: 780063114733092, actual_exe_time: 79680, task_app_start_time:780063112556982, task_sched_time:780063114650892
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780063114818772, ref_stop_time: 780063114937182, actual_exe_time: 118410, task_app_start_time:780063112556982, task_sched_time:780063114810432
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063114992172, ref_stop_time: 780063115073142, actual_exe_time: 80970, task_app_start_time:780063112556982, task_sched_time:780063114989712
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063115831272, ref_stop_time: 780063115908342, actual_exe_time: 77070, task_app_start_time:780063114870282, task_sched_time:780063115828932
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063118128643, ref_stop_time: 780063118208863, actual_exe_time: 80220, task_app_start_time:780063114870282, task_sched_time:780063117694903
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063118213873, ref_stop_time: 780063118295023, actual_exe_time: 81150, task_app_start_time:780063117194683, task_sched_time:780063118110973
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780063118339093, ref_stop_time: 780063118458043, actual_exe_time: 118950, task_app_start_time:780063114870282, task_sched_time:780063118327873
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063118544863, ref_stop_time: 780063118625563, actual_exe_time: 80700, task_app_start_time:780063114870282, task_sched_time:780063118542613
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063119193433, ref_stop_time: 780063119275153, actual_exe_time: 81720, task_app_start_time:780063117194683, task_sched_time:780063119186623
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780063119354743, ref_stop_time: 780063119471203, actual_exe_time: 116460, task_app_start_time:780063117194683, task_sched_time:780063119346223
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063119569963, ref_stop_time: 780063119654383, actual_exe_time: 84420, task_app_start_time:780063117194683, task_sched_time:780063119566543
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063120383323, ref_stop_time: 780063120462433, actual_exe_time: 79110, task_app_start_time:780063119498533, task_sched_time:780063120379393
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063121326223, ref_stop_time: 780063121403473, actual_exe_time: 77250, task_app_start_time:780063119498533, task_sched_time:780063121322263
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780063121488313, ref_stop_time: 780063121604353, actual_exe_time: 116040, task_app_start_time:780063119498533, task_sched_time:780063121480123
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 780063121662013, ref_stop_time: 780063121742323, actual_exe_time: 80310, task_app_start_time:780063119498533, task_sched_time:780063121659133
