app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367244250897, ref_stop_time: 780367244360517, actual_exe_time: 109620, task_app_start_time:780367242921146, task_sched_time:780367244212677
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367246287567, ref_stop_time: 780367246346967, actual_exe_time: 59400, task_app_start_time:780367245236997, task_sched_time:780367246275627
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367246720617, ref_stop_time: 780367246781487, actual_exe_time: 60870, task_app_start_time:780367242921146, task_sched_time:780367246708407
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 780367246921137, ref_stop_time: 780367247082147, actual_exe_time: 161010, task_app_start_time:780367242921146, task_sched_time:780367246911567
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367247189757, ref_stop_time: 780367247294397, actual_exe_time: 104640, task_app_start_time:780367242921146, task_sched_time:780367247180097
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367248310497, ref_stop_time: 780367248369717, actual_exe_time: 59220, task_app_start_time:780367245236997, task_sched_time:780367248301377
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367248526017, ref_stop_time: 780367248584487, actual_exe_time: 58470, task_app_start_time:780367247559957, task_sched_time:780367248516507
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 780367248541347, ref_stop_time: 780367248658467, actual_exe_time: 117120, task_app_start_time:780367245236997, task_sched_time:780367248486387
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367248755907, ref_stop_time: 780367248852657, actual_exe_time: 96750, task_app_start_time:780367245236997, task_sched_time:780367248747027
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367250778208, ref_stop_time: 780367250839168, actual_exe_time: 60960, task_app_start_time:780367249865157, task_sched_time:780367250762908
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367251260698, ref_stop_time: 780367251319168, actual_exe_time: 58470, task_app_start_time:780367247559957, task_sched_time:780367251249448
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 780367251500398, ref_stop_time: 780367251619558, actual_exe_time: 119160, task_app_start_time:780367247559957, task_sched_time:780367251482188
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367251738358, ref_stop_time: 780367251835438, actual_exe_time: 97080, task_app_start_time:780367247559957, task_sched_time:780367251736078
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367252571308, ref_stop_time: 780367252632478, actual_exe_time: 61170, task_app_start_time:780367249865157, task_sched_time:780367252558828
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 780367252753318, ref_stop_time: 780367252870108, actual_exe_time: 116790, task_app_start_time:780367249865157, task_sched_time:780367252748038
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367252964758, ref_stop_time: 780367253064898, actual_exe_time: 100140, task_app_start_time:780367249865157, task_sched_time:780367252959808
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780367253065108, ref_stop_time: 780367253140048, actual_exe_time: 74940, task_app_start_time:780367252179208, task_sched_time:780367253060338
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367254829648, ref_stop_time: 780367254888928, actual_exe_time: 59280, task_app_start_time:780367252179208, task_sched_time:780367254826258
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 780367255010818, ref_stop_time: 780367255128718, actual_exe_time: 117900, task_app_start_time:780367252179208, task_sched_time:780367255007698
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780367255223308, ref_stop_time: 780367255322398, actual_exe_time: 99090, task_app_start_time:780367252179208, task_sched_time:780367255219048
