app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2062499475279061, ref_stop_time: 2062499475397711, actual_exe_time: 118650, task_app_start_time:2062499473389991, task_sched_time:2062499475262861
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2062499476002931, ref_stop_time: 2062499476103821, actual_exe_time: 100890, task_app_start_time:2062499473389991, task_sched_time:2062499475994801
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2062499476698841, ref_stop_time: 2062499476721761, actual_exe_time: 22920, task_app_start_time:2062499473389991, task_sched_time:2062499476652491
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2062499477264311, ref_stop_time: 2062499477339131, actual_exe_time: 74820, task_app_start_time:2062499473389991, task_sched_time:2062499477250421
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 4, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2062499478993152, ref_stop_time: 2062499479034702, actual_exe_time: 41550, task_app_start_time:2062499473389991, task_sched_time:2062499478988892
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 5, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2062499479645262, ref_stop_time: 2062499479669532, actual_exe_time: 24270, task_app_start_time:2062499473389991, task_sched_time:2062499479634942
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 6, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 2062499480198702, ref_stop_time: 2062499480219762, actual_exe_time: 21060, task_app_start_time:2062499473389991, task_sched_time:2062499480193422
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 7, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2062499480499212, ref_stop_time: 2062499480582672, actual_exe_time: 83460, task_app_start_time:2062499473389991, task_sched_time:2062499480444912
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 8, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2062499482306532, ref_stop_time: 2062499482334852, actual_exe_time: 28320, task_app_start_time:2062499473389991, task_sched_time:2062499482298942
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 9, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2062499482843202, ref_stop_time: 2062499482868672, actual_exe_time: 25470, task_app_start_time:2062499473389991, task_sched_time:2062499482834922
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 10, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2062499483394182, ref_stop_time: 2062499483461472, actual_exe_time: 67290, task_app_start_time:2062499473389991, task_sched_time:2062499483389232
