app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2062383255861048, ref_stop_time: 2062383255945708, actual_exe_time: 84660, task_app_start_time:2062383252357287, task_sched_time:2062383255849078
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2062383268568060, ref_stop_time: 2062383268646300, actual_exe_time: 78240, task_app_start_time:2062383252357287, task_sched_time:2062383268557080
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2062383268879850, ref_stop_time: 2062383268994390, actual_exe_time: 114540, task_app_start_time:2062383254010137, task_sched_time:2062383268873490
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2062383269133560, ref_stop_time: 2062383269272400, actual_exe_time: 138840, task_app_start_time:2062383252996737, task_sched_time:2062383268670150
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2062383269842400, ref_stop_time: 2062383269933210, actual_exe_time: 90810, task_app_start_time:2062383255973188, task_sched_time:2062383269089520
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2062383269937170, ref_stop_time: 2062383270034370, actual_exe_time: 97200, task_app_start_time:2062383261750348, task_sched_time:2062383269933990
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2062383270392030, ref_stop_time: 2062383270538010, actual_exe_time: 145980, task_app_start_time:2062383255648677, task_sched_time:2062383270389180
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2062383270536030, ref_stop_time: 2062383270616070, actual_exe_time: 80040, task_app_start_time:2062383253215527, task_sched_time:2062383268821800
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2062383270989600, ref_stop_time: 2062383271454000, actual_exe_time: 464400, task_app_start_time:2062383252357287, task_sched_time:2062383270986420
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2062383271757900, ref_stop_time: 2062383271839170, actual_exe_time: 81270, task_app_start_time:2062383262097599, task_sched_time:2062383271749050
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2062383272122400, ref_stop_time: 2062383272148920, actual_exe_time: 26520, task_app_start_time:2062383252357287, task_sched_time:2062383272115830
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2062383272347520, ref_stop_time: 2062383272445590, actual_exe_time: 98070, task_app_start_time:2062383252996737, task_sched_time:2062383272299580
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2062383272716820, ref_stop_time: 2062383273143390, actual_exe_time: 426570, task_app_start_time:2062383252818417, task_sched_time:2062383272708360
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2062383272810000, ref_stop_time: 2062383273372470, actual_exe_time: 562470, task_app_start_time:2062383256149498, task_sched_time:2062383272498030
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2062383273213950, ref_stop_time: 2062383273294500, actual_exe_time: 80550, task_app_start_time:2062383253215527, task_sched_time:2062383273210440
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2062383274024550, ref_stop_time: 2062383274104410, actual_exe_time: 79860, task_app_start_time:2062383262097599, task_sched_time:2062383274020350
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2062383274525581, ref_stop_time: 2062383274865151, actual_exe_time: 339570, task_app_start_time:2062383255648677, task_sched_time:2062383274522281
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2062383274839231, ref_stop_time: 2062383275128281, actual_exe_time: 289050, task_app_start_time:2062383254010137, task_sched_time:2062383274828371
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2062383275263521, ref_stop_time: 2062383275392671, actual_exe_time: 129150, task_app_start_time:2062383253215527, task_sched_time:2062383275143371
