Resource Pool,Scheduler,Injection Rate (Mbps),Trial 1,Trial 2,Avg. execution time / app.(ns),Avg. cumulative execution time / app. (ns),Avg. Scheduling overhead / app.(ns), cpu1, cpu2, cpu3
C1+F0+M0+Z0,SIMPLE,10,63875.6,63237.0,724398.8999999999,63556.3,5483.6,0,0,0
C1+F0+M0+Z0,SIMPLE,20,62014.8,62726.4,681494.5,62370.600000000006,5271.0,0,0,0
C1+F0+M0+Z0,MET,10,64309.8,64851.0,842325.5,64580.4,6796.200000000001,0,0,0
C1+F0+M0+Z0,MET,20,65665.8,65076.2,902381.7,65371.0,6443.5,0,0,0
C1+F0+M0+Z0,ETF,10,61022.4,64886.2,654660.6,62954.3,5864.0,0,0,0
C1+F0+M0+Z0,ETF,20,63837.2,61969.4,978129.2,62903.3,6504.5,0,0,0
C2+F0+M0+Z0,SIMPLE,10,57690.0,62894.6,620410.6,60292.3,5630.700000000001,0,0,0
C2+F0+M0+Z0,SIMPLE,20,61631.6,59998.6,631537.8,60815.1,7032.299999999999,0,0,0
C2+F0+M0+Z0,MET,10,59975.8,63591.0,711916.8999999999,61783.4,6843.6,0,0,0
C2+F0+M0+Z0,MET,20,61484.4,63506.4,686265.8999999999,62495.4,6755.5,0,0,0
C2+F0+M0+Z0,ETF,10,57357.2,60013.0,624817.1000000001,58685.1,6617.9,0,0,0
C2+F0+M0+Z0,ETF,20,62288.2,60003.0,842017.2,61145.6,7380.299999999999,0,0,0
C3+F0+M0+Z0,SIMPLE,10,73956.2,75496.8,819356.3,74726.5,5754.799999999999,0,0,0
C3+F0+M0+Z0,SIMPLE,20,82800.2,77935.2,759516.3,80367.7,5562.6,0,0,0
C3+F0+M0+Z0,MET,10,70496.8,85446.0,785170.6000000001,77971.4,6977.6,0,0,0
C3+F0+M0+Z0,MET,20,83382.2,91156.4,922896.1000000001,87269.29999999999,7459.8,0,0,0
C3+F0+M0+Z0,ETF,10,78977.6,75956.6,716553.7,77467.1,6956.8,0,0,0
C3+F0+M0+Z0,ETF,20,84185.4,81037.2,856200.8,82611.29999999999,7565.200000000001,0,0,0
