Resource Pool,Scheduler,Injection Rate (Mbps),Trial 1,Trial 2,Avg. execution time / app.(ns),Avg. cumulative execution time / app. (ns),Avg. Scheduling overhead / app.(ns), cpu1, cpu2, cpu3, fft1, fft2, zip1, zip2
C1+F2+M0+Z2,SIMPLE,10,375624.0,362286.0,3991227.7,368955.0,17934.0,0,0,0,0,0,0,0
C1+F2+M0+Z2,SIMPLE,20,374862.2,393390.2,3971073.8,384126.2,18846.0,0,0,0,0,0,0,0
C1+F2+M0+Z2,MET,10,363636.2,372342.0,4179801.8,367989.1,22173.1,0,0,0,0,0,0,0
C1+F2+M0+Z2,MET,20,357798.0,361566.2,3846735.6,359682.1,24552.0,0,0,0,0,0,0,0
C1+F2+M0+Z2,ETF,10,356382.2,606888.2,4728090.8,481635.19999999995,22014.0,0,0,0,0,0,0,0
C1+F2+M0+Z2,ETF,20,354684.0,357366.0,3892584.7,356025.0,23124.0,0,0,0,0,0,0,0
C1+F2+M0+Z2,EFT,10,355944.0,359310.0,4178307.7,357627.0,21810.0,0,0,0,0,0,0,0
C1+F2+M0+Z2,EFT,20,356508.0,356898.0,3878370.6,356703.0,22059.0,0,0,0,0,0,0,0
C2+F2+M0+Z2,SIMPLE,10,401934.0,406542.0,4498434.8,404238.0,18288.0,0,0,0,0,0,0,0
C2+F2+M0+Z2,SIMPLE,20,391488.0,394938.0,3964077.7,393213.0,19662.0,0,0,0,0,0,0,0
C2+F2+M0+Z2,MET,10,367356.2,386448.2,4635213.699999999,376902.2,22782.0,0,0,0,0,0,0,0
C2+F2+M0+Z2,MET,20,367068.0,388392.0,3991875.6,377730.0,23235.0,0,0,0,0,0,0,0
C2+F2+M0+Z2,ETF,10,360030.2,360414.2,4472985.699999999,360222.2,22650.0,0,0,0,0,0,0,0
C2+F2+M0+Z2,ETF,20,358794.0,365730.0,4965960.699999999,362262.0,23025.0,0,0,0,0,0,0,0
C2+F2+M0+Z2,EFT,10,367338.2,359010.0,4313688.699999999,363174.1,22200.0,0,0,0,0,0,0,0
C2+F2+M0+Z2,EFT,20,360576.2,358416.0,3894129.6,359496.1,22557.0,0,0,0,0,0,0,0
C3+F2+M0+Z2,SIMPLE,10,404580.2,421530.2,4531806.8,413055.2,18219.0,0,0,0,0,0,0,0
C3+F2+M0+Z2,SIMPLE,20,606624.2,416166.2,4856805.699999999,511395.19999999995,18228.0,0,0,0,0,0,0,0
C3+F2+M0+Z2,MET,10,371862.4,363456.0,5452687.0,367659.2,23679.0,0,0,0,0,0,0,0
C3+F2+M0+Z2,MET,20,357138.0,357204.0,4444866.699999999,357171.0,24129.0,0,0,0,0,0,0,0
C3+F2+M0+Z2,ETF,10,363318.0,359826.0,5164191.6,361572.0,23190.0,0,0,0,0,0,0,0
C3+F2+M0+Z2,ETF,20,354672.2,361110.2,4474368.8,357891.2,23169.0,0,0,0,0,0,0,0
C3+F2+M0+Z2,EFT,10,377202.2,355332.0,5051421.699999999,366267.1,22419.0,0,0,0,0,0,0,0
C3+F2+M0+Z2,EFT,20,360126.0,359052.0,4402386.699999999,359589.0,22554.0,0,0,0,0,0,0,0
